rank,MAE,RAE,R2,Spearman,Kendall,N,file
1,0.4463581959541695,0.5588818850742461,0.5463944012947232,0.8491588753316864,0.6576673268736493,253,blend3_um8f35_cp35_um2930.csv
2,0.4463581959541695,0.5588818850742461,0.5463944012947232,0.8491588753316864,0.6576673268736493,253,blend3_um8f35_cp35_um2930.csv
3,0.4463581959541695,0.5588818850742461,0.5463944012947232,0.8491588753316864,0.6576673268736493,253,final_blend_submission.csv
4,0.44643518125703746,0.5589782778179659,0.5457325083946148,0.849062912993379,0.6572906020694828,253,blend3_um8f33_cp33_um2934.csv
5,0.44645941946771955,0.5590086263071381,0.5455448294179535,0.8488895138647,0.6572906020694828,253,blend3_um8f32_cp32_um2935.csv
6,0.44654723328866996,0.5591185773604249,0.5454737641183924,0.8494060061411499,0.6585463514167045,253,blend3_um8f35_cp45_um2920.csv
7,0.44654723328866996,0.5591185773604249,0.5454737641183924,0.8494060061411499,0.6585463514167045,253,um8f35_cp45_um2948_20.csv
8,0.4466345938977081,0.5592279609503377,0.5474273724992351,0.8492574312467049,0.658985863688232,253,blend3_um8f40_cp40_um2920.csv
9,0.44679228179695074,0.5594254008342268,0.5435784723032044,0.8491707316823653,0.6582952015472601,253,blend3_um8f28_cp32_um2940.csv
10,0.446832918229355,0.5594762814188124,0.5432329313836349,0.8485994037840254,0.6577929018083714,253,blend3_um8f30_cp50_um2920.csv
11,0.44684623337993495,0.5594929532230353,0.5444732000248415,0.8480903217267498,0.6564115775264276,253,blend3_um8f30_cp30_um2940.csv
12,0.4468504116285284,0.5594981847780316,0.5466583273246592,0.8486512753182457,0.6577301143410104,253,um8f40_cp45_um2948_15.csv
13,0.4470128993963336,0.5597016345428071,0.5445380200545867,0.8483018834841766,0.6584207764819823,253,um8f35_cp50_um2948_15.csv
14,0.4470583206812015,0.5597585062067297,0.5452961216579996,0.8484415661156125,0.6569138772653162,253,blend3_um8f32_cp28_um2940.csv
15,0.4472527324046,0.5600019277265726,0.5490937565261631,0.8487535363428512,0.6574789644715661,253,um8f45_cp35_um2948_20.csv
16,0.4472527324046,0.5600019277265726,0.5490937565261631,0.8487535363428512,0.6574789644715661,253,blend3_um8f45_cp35_um2920.csv
17,0.4473307156151952,0.5600995699433767,0.5477716640465846,0.8499450995860818,0.658985863688232,253,um8f35_cp35_um2948_20_um15f10.csv
18,0.4473588669308194,0.5601348180030874,0.5422963287498863,0.8473952431681987,0.6565999399285108,253,blend3_um8f25_cp30_um2945.csv
19,0.4473752698701056,0.560155356005329,0.5484914102408169,0.8488102245195347,0.6584835639493433,253,um8f45_cp40_um2948_15.csv
20,0.4473893423613271,0.560172976070319,0.5472285626544082,0.8501173871818845,0.6595509508944817,253,um8f35_cp40_um2948_15_um15f10.csv
